code,name,mktcap_raw,market_cap_yuan
600428,中远海特,2104586.942965,21045869429.649998
300558,贝达药业,2102407.013471,21024070134.71
300660,江苏雷利,2101541.7756,21015417756.0
688582,芯动联科,2099890.045712,20998900457.120003
300593,新雷能,2097841.579623,20978415796.230003
600516,方大炭素,2097530.561728,20975305617.280003
603899,晨光股份,2096128.578052,20961285780.52
600316,洪都航空,2091823.031504,20918230315.04
688708,佳驰科技,2087652.19,20876521900.0
002262,恩华药业,2086425.641482,20864256414.82
001221,悍高集团,2085252.13,20852521300.0
002423,中粮资本,2085215.545375,20852155453.75
688603,天承科技,2084520.969612,20845209696.12
002270,华明装备,2083724.127075,20837241270.75
002506,协鑫集成,2082712.648012,20827126480.12
601519,大智慧,2076683.04,20766830400.0
000537,绿发电力,2076275.07799,20762750779.899998
300638,广和通,2073707.036264,20737070362.64
002815,崇达技术,2069671.770348,20696717703.48
301093,华兰股份,2068940.4624,20689404624.0
000623,吉林敖东,2068899.01951,20688990195.1
601636,旗滨集团,2068098.955872,20680989558.72
603337,杰克科技,2067626.73894,20676267389.4
002895,川恒股份,2067352.578796,20673525787.96
600452,涪陵电力,2066648.52463,20666485246.300003
301086,鸿富瀚,2065140.0,20651400000.0
000543,皖能电力,2065112.494541,20651124945.41
301369,联动科技,2060478.66906,20604786690.6
002176,江特电机,2052709.673943,20527096739.43
600353,旭光电子,2052136.429684,20521364296.84
000598,兴蓉环境,2050013.991327,20500139913.27
601158,重庆水务,2049610.826158,20496108261.579998
600131,国网信通,2049187.12524,20491871252.4
600927,永安期货,2046511.111736,20465111117.36
603678,火炬电子,2045412.079931,20454120799.31
300835,龙磁科技,2042591.11266,20425911126.600002
300827,上能电气,2040274.637035,20402746370.35
688003,天准科技,2038422.045,20384220450.0
300131,英唐智控,2036224.95609,20362249560.9
688625,呈和科技,2034807.875555,20348078755.55
300747,锐科激光,2033553.6,20335536000.0
603638,艾迪精密,2032012.14045,20320121404.5
603906,龙蟠科技,2030308.746096,20303087460.96
300100,双林股份,2027107.53936,20271075393.600002
600511,国药股份,2022068.03464,20220680346.4
301005,超捷股份,2020762.476561,20207624765.61
688388,嘉元科技,2019090.56349,20190905634.9
601858,中国科传,2015775.0,20157750000.0
