code,name,latest_date,benchmark,score,category,action,close,spread,spread_slope_60,spread_slope_120,spread_slope_250,below_zero_ratio_250,spread_breakout_level,price_breakout_level,volume_ratio,market_status,risk_flags,reason,score_positive_items,score_negative_items,missing_conditions,data_source,is_core_candidate
300739,明阳电路,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,33.84,82.704,0.07522,0.71192,0.2875,0.34,无,无,1.256,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5,risk_price_double_from_250_low:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
300790,宇瞳光学,2026-05-26,000300,64,C类,强者恒强，趋势健康时可持续跟踪,34.63,19.008,0.51115,0.00486,0.04882,0.4,无,无,0.806,强,,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5,,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点|成交量未达到1.2倍,cache,False
300811,铂科新材,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,88.78,242.433,1.22793,0.64411,0.48604,0.0,无,无,1.803,强,一年内涨幅过大、相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
300835,龙磁科技,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,163.29,289.195,1.85507,1.15619,0.55956,0.02,无,无,1.64,强,一年内涨幅过大、相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
301086,鸿富瀚,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,233.0,340.676,4.35627,1.91666,1.14354,0.0,无,无,1.482,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5,risk_price_double_from_250_low:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
301312,智立方,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,144.5,389.686,3.12948,2.76277,1.0723,0.0,无,无,1.372,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5,risk_price_double_from_250_low:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
301382,蜂助手,2026-05-26,000300,64,C类,强者恒强，趋势健康时可持续跟踪,49.74,68.375,1.01994,0.25977,0.09518,0.0,无,无,0.747,强,,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5,,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点|成交量未达到1.2倍,cache,False
301536,星宸科技,2026-05-26,000300,64,C类,强者恒强，趋势健康时可持续跟踪,89.64,48.19,0.40422,0.52483,0.10081,0.256,无,无,0.801,强,,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5,,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点|成交量未达到1.2倍,cache,False
301550,斯菱智驱,2026-05-26,000300,64,C类,强者恒强但已有过热风险，等待回踩或缩量整理,186.51,594.293,2.69205,1.87531,2.12116,0.0,无,无,1.219,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5,risk_price_double_from_250_low:-5,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点,cache,False
600236,桂冠电力,2026-05-26,000300,64,C类,强者恒强，趋势健康时可持续跟踪,10.68,93.57,0.24743,0.64251,0.27163,0.0,无,无,0.699,强,,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；股价站上20日线；个股20日线高于60日线；指数站上60日线；指数20日线高于60日线,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|stock_above_ma20:+6|stock_ma20_above_ma60:+6|market_above_ma60:+5|market_ma20_above_ma60:+5,,未突破60日差价高点|未突破120日差价高点|未突破250日差价高点|未突破60日价格高点|未突破120日价格高点|未突破250日价格高点|成交量未达到1.2倍,cache,False
